title,link
Spectrum-Malaria: a user-friendly projection tool for health impact assessment and strategic planning for malaria programs in sub-Saharan Africa,https://scholar.google.com/citations?hl=ko&user=tL0x_vUAAAAJ#d=gs_md_cita-d&u=/citations%3Fview_op%3Dview_citation%26hl%3Dko%26user%3DtL0x_vUAAAAJ%26cstart%3D100%26pagesize%3D100%26citation_for_view%3DtL0x_vUAAAAJ%3AOzeSX8-yOCQC%26tzom%3D-540
"Erratum: Global, regional, national, and selected subnational levels of stillbirths, neonatal, infant, and under-5 mortality, 1980–2015: a systematic analysis for the Global …",https://scholar.google.com/citations?hl=ko&user=tL0x_vUAAAAJ#d=gs_md_cita-d&u=/citations%3Fview_op%3Dview_citation%26hl%3Dko%26user%3DtL0x_vUAAAAJ%26cstart%3D100%26pagesize%3D100%26citation_for_view%3DtL0x_vUAAAAJ%3AtBlTYpvFGQIC%26tzom%3D-540
Comparing community P. falciparum infection prevalence measured via microscopy versus rapid diagnostic test,https://scholar.google.com/citations?hl=ko&user=tL0x_vUAAAAJ#d=gs_md_cita-d&u=/citations%3Fview_op%3Dview_citation%26hl%3Dko%26user%3DtL0x_vUAAAAJ%26cstart%3D100%26pagesize%3D100%26citation_for_view%3DtL0x_vUAAAAJ%3Aunp9ATQDT5gC%26tzom%3D-540
Quantifying Online News Media Coverage of the COVID-19 Pandemic: Text Mining Study and Resource,https://scholar.google.com/citations?hl=ko&user=tL0x_vUAAAAJ#d=gs_md_cita-d&u=/citations%3Fview_op%3Dview_citation%26hl%3Dko%26user%3DtL0x_vUAAAAJ%26cstart%3D100%26pagesize%3D100%26citation_for_view%3DtL0x_vUAAAAJ%3AsJK75vZXtG0C%26tzom%3D-540
"Multimodal deep learning from satellite and street-level imagery for measuring income, overcrowding, and environmental deprivation in urban areas",https://scholar.google.com/citations?hl=ko&user=tL0x_vUAAAAJ#d=gs_md_cita-d&u=/citations%3Fview_op%3Dview_citation%26hl%3Dko%26user%3DtL0x_vUAAAAJ%26cstart%3D100%26pagesize%3D100%26citation_for_view%3DtL0x_vUAAAAJ%3AwGzT3bKASkAC%26tzom%3D-540
Modelling the impact of the tier system on SARS-CoV-2 transmission in the UK between the first and second national lockdowns,https://scholar.google.com/citations?hl=ko&user=tL0x_vUAAAAJ#d=gs_md_cita-d&u=/citations%3Fview_op%3Dview_citation%26hl%3Dko%26user%3DtL0x_vUAAAAJ%26cstart%3D100%26pagesize%3D100%26citation_for_view%3DtL0x_vUAAAAJ%3ADIubQTN3OvUC%26tzom%3D-540
Using Hawkes Processes to model imported and local malaria cases in near-elimination settings,https://scholar.google.com/citations?hl=ko&user=tL0x_vUAAAAJ#d=gs_md_cita-d&u=/citations%3Fview_op%3Dview_citation%26hl%3Dko%26user%3DtL0x_vUAAAAJ%26cstart%3D100%26pagesize%3D100%26citation_for_view%3DtL0x_vUAAAAJ%3A0ngZmJvimKcC%26tzom%3D-540
Pyfectious: An individual-level simulator to discover optimal containment polices for epidemic diseases,https://scholar.google.com/citations?hl=ko&user=tL0x_vUAAAAJ#d=gs_md_cita-d&u=/citations%3Fview_op%3Dview_citation%26hl%3Dko%26user%3DtL0x_vUAAAAJ%26cstart%3D100%26pagesize%3D100%26citation_for_view%3DtL0x_vUAAAAJ%3Aa2necdfpwlEC%26tzom%3D-540
Under the Radar: Global Minimum Estimates for COVID-19-Associated Orphanhood and Deaths Among Caregivers During 2020,https://scholar.google.com/citations?hl=ko&user=tL0x_vUAAAAJ#d=gs_md_cita-d&u=/citations%3Fview_op%3Dview_citation%26hl%3Dko%26user%3DtL0x_vUAAAAJ%26cstart%3D100%26pagesize%3D100%26citation_for_view%3DtL0x_vUAAAAJ%3AcSdaV2aYdYsC%26tzom%3D-540
"Maps and Metrics of Insecticide-Treated Net Coverage in Africa: Access, Use, and Nets-Per-Capita, 2000-2020",https://scholar.google.com/citations?hl=ko&user=tL0x_vUAAAAJ#d=gs_md_cita-d&u=/citations%3Fview_op%3Dview_citation%26hl%3Dko%26user%3DtL0x_vUAAAAJ%26cstart%3D100%26pagesize%3D100%26citation_for_view%3DtL0x_vUAAAAJ%3A3MwzVuqRcA0C%26tzom%3D-540
Referenced Thermodynamic Integration for Bayesian Model Selection: Application to COVID-19 Model Selection,https://scholar.google.com/citations?hl=ko&user=tL0x_vUAAAAJ#d=gs_md_cita-d&u=/citations%3Fview_op%3Dview_citation%26hl%3Dko%26user%3DtL0x_vUAAAAJ%26cstart%3D100%26pagesize%3D100%26citation_for_view%3DtL0x_vUAAAAJ%3A9LpHyFPp1DQC%26tzom%3D-540
Under the radar: global minimum estimates for COVID-19-associated orphanhood and deaths among caregivers,https://scholar.google.com/citations?hl=ko&user=tL0x_vUAAAAJ#d=gs_md_cita-d&u=/citations%3Fview_op%3Dview_citation%26hl%3Dko%26user%3DtL0x_vUAAAAJ%26cstart%3D100%26pagesize%3D100%26citation_for_view%3DtL0x_vUAAAAJ%3A1EqfMoDn7-AC%26tzom%3D-540
Replication Data for: Using Hawkes Processes to model imported and local malaria cases in near-elimination settings,https://scholar.google.com/citations?hl=ko&user=tL0x_vUAAAAJ#d=gs_md_cita-d&u=/citations%3Fview_op%3Dview_citation%26hl%3Dko%26user%3DtL0x_vUAAAAJ%26cstart%3D100%26pagesize%3D100%26citation_for_view%3DtL0x_vUAAAAJ%3AzzCxg_vo7cAC%26tzom%3D-540
Impact of the Tier system on SARS-CoV-2 transmission in the UK between the first and second national lockdowns,https://scholar.google.com/citations?hl=ko&user=tL0x_vUAAAAJ#d=gs_md_cita-d&u=/citations%3Fview_op%3Dview_citation%26hl%3Dko%26user%3DtL0x_vUAAAAJ%26cstart%3D100%26pagesize%3D100%26citation_for_view%3DtL0x_vUAAAAJ%3ArFyVMFCKTwsC%26tzom%3D-540
A national retrospective cohort study of mechanical ventilator availability and its association with mortality risk in intensive care patients with COVID-19,https://scholar.google.com/citations?hl=ko&user=tL0x_vUAAAAJ#d=gs_md_cita-d&u=/citations%3Fview_op%3Dview_citation%26hl%3Dko%26user%3DtL0x_vUAAAAJ%26cstart%3D100%26pagesize%3D100%26citation_for_view%3DtL0x_vUAAAAJ%3AGpwnp1kGG20C%26tzom%3D-540
The Ecological Structure of Mosquito Population Dynamics: Insights from India,https://scholar.google.com/citations?hl=ko&user=tL0x_vUAAAAJ#d=gs_md_cita-d&u=/citations%3Fview_op%3Dview_citation%26hl%3Dko%26user%3DtL0x_vUAAAAJ%26cstart%3D100%26pagesize%3D100%26citation_for_view%3DtL0x_vUAAAAJ%3A3vbIHxFL9FgC%26tzom%3D-540
Estimating malaria incidence from routine health facility-based surveillance data in Uganda,https://scholar.google.com/citations?hl=ko&user=tL0x_vUAAAAJ#d=gs_md_cita-d&u=/citations%3Fview_op%3Dview_citation%26hl%3Dko%26user%3DtL0x_vUAAAAJ%26cstart%3D100%26pagesize%3D100%26citation_for_view%3DtL0x_vUAAAAJ%3Asgsej9ZJWHMC%26tzom%3D-540
Inference of malaria transmission dynamics under varying assumptions about the spatial scale of transmission: a modelling study in three elimination settings,https://scholar.google.com/citations?hl=ko&user=tL0x_vUAAAAJ#d=gs_md_cita-d&u=/citations%3Fview_op%3Dview_citation%26hl%3Dko%26user%3DtL0x_vUAAAAJ%26cstart%3D100%26pagesize%3D100%26citation_for_view%3DtL0x_vUAAAAJ%3ADquSII9TDu4C%26tzom%3D-540
Simulating normalised constants with referenced thermodynamic integration: application to COVID-19 model selection,https://scholar.google.com/citations?hl=ko&user=tL0x_vUAAAAJ#d=gs_md_cita-d&u=/citations%3Fview_op%3Dview_citation%26hl%3Dko%26user%3DtL0x_vUAAAAJ%26cstart%3D100%26pagesize%3D100%26citation_for_view%3DtL0x_vUAAAAJ%3AqCpRzq7zkD8C%26tzom%3D-540
Predicting the future distribution of antibiotic resistance using time series forecasting and geospatial modelling [version 1; peer review: awaiting peer review],https://scholar.google.com/citations?hl=ko&user=tL0x_vUAAAAJ#d=gs_md_cita-d&u=/citations%3Fview_op%3Dview_citation%26hl%3Dko%26user%3DtL0x_vUAAAAJ%26cstart%3D100%26pagesize%3D100%26citation_for_view%3DtL0x_vUAAAAJ%3APVqtIyvKoSUC%26tzom%3D-540
Predicting the future distribution of antibiotic resistance using time series forecasting and geospatial modelling,https://scholar.google.com/citations?hl=ko&user=tL0x_vUAAAAJ#d=gs_md_cita-d&u=/citations%3Fview_op%3Dview_citation%26hl%3Dko%26user%3DtL0x_vUAAAAJ%26cstart%3D100%26pagesize%3D100%26citation_for_view%3DtL0x_vUAAAAJ%3AEBV337fEn3EC%26tzom%3D-540
Data from: Evolution and epidemic spread of SARS-CoV-2 in Brazil,https://scholar.google.com/citations?hl=ko&user=tL0x_vUAAAAJ#d=gs_md_cita-d&u=/citations%3Fview_op%3Dview_citation%26hl%3Dko%26user%3DtL0x_vUAAAAJ%26cstart%3D100%26pagesize%3D100%26citation_for_view%3DtL0x_vUAAAAJ%3AgV6rEsy15s0C%26tzom%3D-540
The Impact of the COVID-19 Epidemic on Patterns of Attendance at Emergency Departments in Two Large London Hospitals: An Observational Study,https://scholar.google.com/citations?hl=ko&user=tL0x_vUAAAAJ#d=gs_md_cita-d&u=/citations%3Fview_op%3Dview_citation%26hl%3Dko%26user%3DtL0x_vUAAAAJ%26cstart%3D100%26pagesize%3D100%26citation_for_view%3DtL0x_vUAAAAJ%3AbXQfdp6S9ecC%26tzom%3D-540
A complex dispersal into the Caribbean,https://scholar.google.com/citations?hl=ko&user=tL0x_vUAAAAJ#d=gs_md_cita-d&u=/citations%3Fview_op%3Dview_citation%26hl%3Dko%26user%3DtL0x_vUAAAAJ%26cstart%3D100%26pagesize%3D100%26citation_for_view%3DtL0x_vUAAAAJ%3ATfl4UtY-dJUC%26tzom%3D-540
The effect of interventions on COVID-19 Reply,https://scholar.google.com/citations?hl=ko&user=tL0x_vUAAAAJ#d=gs_md_cita-d&u=/citations%3Fview_op%3Dview_citation%26hl%3Dko%26user%3DtL0x_vUAAAAJ%26cstart%3D100%26pagesize%3D100%26citation_for_view%3DtL0x_vUAAAAJ%3AeFf2swCANGcC%26tzom%3D-540
Quantifying arbovirus disease and transmission risk at the municipality level in the Dominican Republic: the inception of Rm,https://scholar.google.com/citations?hl=ko&user=tL0x_vUAAAAJ#d=gs_md_cita-d&u=/citations%3Fview_op%3Dview_citation%26hl%3Dko%26user%3DtL0x_vUAAAAJ%26cstart%3D100%26pagesize%3D100%26citation_for_view%3DtL0x_vUAAAAJ%3Aukw-9cB-YDkC%26tzom%3D-540
Utilizing general human movement models to predict the spread of emerging infectious diseases in resource poor settings,https://scholar.google.com/citations?hl=ko&user=tL0x_vUAAAAJ#d=gs_md_cita-d&u=/citations%3Fview_op%3Dview_citation%26hl%3Dko%26user%3DtL0x_vUAAAAJ%26cstart%3D100%26pagesize%3D100%26citation_for_view%3DtL0x_vUAAAAJ%3AcNe27ouKFcQC%26tzom%3D-540
The changing landscape of Plasmodium falciparum drug resistance in the Democratic Republic of Congo,https://scholar.google.com/citations?hl=ko&user=tL0x_vUAAAAJ#d=gs_md_cita-d&u=/citations%3Fview_op%3Dview_citation%26hl%3Dko%26user%3DtL0x_vUAAAAJ%26cstart%3D100%26pagesize%3D100%26citation_for_view%3DtL0x_vUAAAAJ%3AtxeM2kYbVNMC%26tzom%3D-540
UTILIZING HIGH RESOLUTION MALARIA MAPS AND FUTURE FORECASTS TO OPTIMIZE SITE SELECTION FOR CLINICAL TRIALS IN MALARIA,https://scholar.google.com/citations?hl=ko&user=tL0x_vUAAAAJ#d=gs_md_cita-d&u=/citations%3Fview_op%3Dview_citation%26hl%3Dko%26user%3DtL0x_vUAAAAJ%26cstart%3D100%26pagesize%3D100%26citation_for_view%3DtL0x_vUAAAAJ%3AaDl3D7KC1E4C%26tzom%3D-540
"WHOSE ARCHETYPE IS IT, ANYWAY? A MACHINE LEARNING APPROACH FOR CHARACTERIZING MALARIA TRANSMISSION SETTINGS",https://scholar.google.com/citations?hl=ko&user=tL0x_vUAAAAJ#d=gs_md_cita-d&u=/citations%3Fview_op%3Dview_citation%26hl%3Dko%26user%3DtL0x_vUAAAAJ%26cstart%3D100%26pagesize%3D100%26citation_for_view%3DtL0x_vUAAAAJ%3AJ3LtWjKFLicC%26tzom%3D-540
