name,url
HIMANSHU RAI,https://scholar.google.com/citations?hl=ko&user=Gz3HxQQAAAAJ
Paolo Galeone,https://scholar.google.com/citations?hl=ko&user=nsBuQmwAAAAJ
Martin Ullrich,https://scholar.google.com/citations?hl=ko&user=7rczH6gAAAAJ
Michele De Simoni,https://scholar.google.com/citations?hl=ko&user=es2rHZ0AAAAJ
Federico Di Mattia,https://scholar.google.com/citations?hl=ko&user=lcsxy1QAAAAJ
Kumar Vishal,https://scholar.google.com/citations?hl=ko&user=dnHx_TcAAAAJ
Mahmoud Zidan,https://scholar.google.com/citations?hl=ko&user=1tbtxHIAAAAJ
Jasper Vandermeulen,https://scholar.google.com/citations?hl=ko&user=bYV4LeYAAAAJ
K. Supreet Alguri,https://scholar.google.com/citations?hl=ko&user=TDTRIo8AAAAJ
Valentin Liévin,https://scholar.google.com/citations?hl=ko&user=OPkZ_uQAAAAJ
Narendra Nath Joshi,https://scholar.google.com/citations?hl=ko&user=SeTvi_UAAAAJ
CLEMENT ETIENAM,https://scholar.google.com/citations?hl=ko&user=yupEPF0AAAAJ
Juyong Kim,https://scholar.google.com/citations?hl=ko&user=tvFPZ9kAAAAJ
Satya Kesav Gundabathula,https://scholar.google.com/citations?hl=ko&user=1_1F_1gAAAAJ
Jiaxiao Zheng,https://scholar.google.com/citations?hl=ko&user=x1RxSokAAAAJ
Ricky Nathvani,https://scholar.google.com/citations?hl=ko&user=ALj7g08AAAAJ
Doruk C. Uzunoglu,https://scholar.google.com/citations?hl=ko&user=sbYkDocAAAAJ
Anu Bajaj,https://scholar.google.com/citations?hl=ko&user=En_N0VoAAAAJ
Adnan Shahzada,https://scholar.google.com/citations?hl=ko&user=yqmDYmkAAAAJ
Parmeet S. Bhatia,https://scholar.google.com/citations?hl=ko&user=Hzh0ARgAAAAJ
Mengxiong Liu,https://scholar.google.com/citations?hl=ko&user=oiY8pqsAAAAJ
Pushkaraj Bhirud,https://scholar.google.com/citations?hl=ko&user=xTvjfEoAAAAJ
Deep Learning Based On-Street Parking Spot Detection for Smart Cities,https://scholar.google.com/citations?hl=ko&user=vvBaGrcAAAAJ
Tobias Morville,https://scholar.google.com/citations?hl=ko&user=n2ErHWUAAAAJ
Jose Rivera-Rubio,https://scholar.google.com/citations?hl=ko&user=-DFHwgMAAAAJ
Claire Benn,https://scholar.google.com/citations?hl=ko&user=2Fsy8GwAAAAJ
Loai AbdAllah,https://scholar.google.com/citations?hl=ko&user=N4glkbMAAAAJ
Yu Chen,https://scholar.google.com/citations?hl=ko&user=S-sY-JYAAAAJ
Maunil VYAS,https://scholar.google.com/citations?hl=ko&user=zQYJGIwAAAAJ
Waleed Ali,https://scholar.google.com/citations?hl=ko&user=ypZ8PaoAAAAJ
Niklas Stoehr,https://scholar.google.com/citations?hl=ko&user=lYwy2iEAAAAJ
Alexander W. Churchill,https://scholar.google.com/citations?hl=ko&user=YBgBgRIAAAAJ
Sai Vikas Desai,https://scholar.google.com/citations?hl=ko&user=L9tcl_wAAAAJ
Oleg Khomenko,https://scholar.google.com/citations?hl=ko&user=4zny_MKORbAC
Philip J. Ball,https://scholar.google.com/citations?hl=ko&user=5Cm8L90AAAAJ
Paul Blondel,https://scholar.google.com/citations?hl=ko&user=34EPfGUAAAAJ
Philipp Seidl,https://scholar.google.com/citations?hl=ko&user=WmyltwcAAAAJ
